dataset,split_idx,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,ensemble_time,calibration_time,path,threshold,set_size,auc,aurac,aorac,ece,ece_adaptive,brier_score,conformal_coverage,conformal_set_size
MNIST,0,pure_logits,greedy_5_baseline,5,4,0.030591931194067,,,,1.1776514053344729,0.0,cnn_experiments_data/arrays/mnist_0_pure_logits_greedy_5_baseline_2025-11-30.npz,0.0,1.0,0.9999209985659337,0.9898502430217929,0.01014975697820708,0.00596039037832197,0.00596039037832197,0.014061544163475607,0.991875,1.0
MNIST,0,pure_logits,greedy_5_temp_pool_then_calibrate,5,4,0.0291338451206684,0.8510204081632653,,,1.1776514053344729,0.027888536453247,cnn_experiments_data/arrays/mnist_0_pure_logits_greedy_5_temp_pool_then_calibrate_2025-11-30.npz,0.0,1.0,0.9999210568340418,0.9898508455671922,0.010149154432807839,0.0028603990546294377,0.0028603990546294377,0.013575386181470084,0.991875,1.0
MNIST,0,pure_logits,greedy_5_temp_calibrate_then_pool,5,4,0.0297669954597949,0.8475468554768846,1.0,1.0,1.1776514053344729,5.291286945343018,cnn_experiments_data/arrays/mnist_0_pure_logits_greedy_5_temp_calibrate_then_pool_2025-11-30.npz,0.0,1.0,0.9999199442327752,0.9898450085663314,0.010154991433668603,0.0037165617197752483,0.0037165617197752483,0.013853280822189926,0.9916071428571429,1.0
MNIST,0,pure_logits,greedy_5_post_calib,5,4,0.0278791543096303,1.0121782590587256,0.3365264473136193,1.0,1.1776514053344729,8.663672685623169,cnn_experiments_data/arrays/mnist_0_pure_logits_greedy_5_post_calib_2025-11-30.npz,0.0,1.0,0.9999248039787776,0.9898673842266721,0.010132615773327913,0.0024752088763884228,0.0024752088763884228,0.01315261094848655,0.9922321428571429,1.0
MNIST,1,pure_logits,greedy_5_baseline,5,4,0.0345979407429695,,,,0.0509045124053955,0.0,cnn_experiments_data/arrays/mnist_1_pure_logits_greedy_5_baseline_2025-11-30.npz,0.0,1.0,0.9998845986317993,0.9897080639911499,0.010291936008850144,0.003857114217111042,0.003857114217111042,0.016247858875244922,0.9892857142857143,1.0
MNIST,1,pure_logits,greedy_5_temp_pool_then_calibrate,5,4,0.0341111980378627,0.7959183673469388,,,0.0509045124053955,0.0251791477203369,cnn_experiments_data/arrays/mnist_1_pure_logits_greedy_5_temp_pool_then_calibrate_2025-11-30.npz,0.0,1.0,0.9998851879744999,0.9897119755264394,0.010288024473560586,0.002429531135729346,0.002429531135729346,0.01594814112780746,0.9892857142857143,1.0
MNIST,1,pure_logits,greedy_5_temp_calibrate_then_pool,5,4,0.0345069207251071,0.812161599333611,1.0,1.0,0.0509045124053955,4.254662752151489,cnn_experiments_data/arrays/mnist_1_pure_logits_greedy_5_temp_calibrate_then_pool_2025-11-30.npz,0.0,1.0,0.9998823034126684,0.9897022382160671,0.010297761783932935,0.002137022352644328,0.002137022352644328,0.016125968944774128,0.9892857142857143,1.0
MNIST,1,pure_logits,greedy_5_post_calib,5,4,0.0323186516761779,1.0121782590587256,0.0,1.0,0.0509045124053955,16.337769985198975,cnn_experiments_data/arrays/mnist_1_pure_logits_greedy_5_post_calib_2025-11-30.npz,0.0,1.0,0.9999051035254661,0.9897595750813524,0.010240424918647628,0.0026234590815646815,0.0026234590815646815,0.015732957091746245,0.9896428571428572,1.0
MNIST,2,pure_logits,greedy_5_baseline,5,3,0.0369342416524887,,,,0.0166423320770263,0.0,cnn_experiments_data/arrays/mnist_2_pure_logits_greedy_5_baseline_2025-11-30.npz,0.0,1.0,0.9999001034117716,0.9896840043438068,0.010315995656193233,0.004874784925154321,0.004874784925154321,0.017680135091999963,0.9884821428571429,1.0
MNIST,2,pure_logits,greedy_5_temp_pool_then_calibrate,5,3,0.0363812819123268,0.8510204081632653,,,0.0166423320770263,0.0268163681030273,cnn_experiments_data/arrays/mnist_2_pure_logits_greedy_5_temp_pool_then_calibrate_2025-11-30.npz,0.0,1.0,0.9999002998200549,0.9896800766331885,0.010319923366811534,0.002417794708694712,0.002417794708694712,0.017446032475566406,0.9884821428571429,1.0
MNIST,2,pure_logits,greedy_5_temp_calibrate_then_pool,5,3,0.0368392765522003,0.8614410662224073,1.0,1.0,0.0166423320770263,4.712498664855957,cnn_experiments_data/arrays/mnist_2_pure_logits_greedy_5_temp_calibrate_then_pool_2025-11-30.npz,0.0,1.0,0.9998993143107748,0.9896760874555153,0.010323912544484726,0.003934178888797746,0.003934178888797746,0.017681211481939595,0.9880357142857142,1.0
MNIST,2,pure_logits,greedy_5_post_calib,5,3,0.0341688618063926,1.0038817159516868,0.4231570179092045,1.0,0.0166423320770263,20.12933897972107,cnn_experiments_data/arrays/mnist_2_pure_logits_greedy_5_post_calib_2025-11-30.npz,0.0,1.0,0.9999014016902505,0.9897012737769942,0.01029872622300576,0.0012575093167169103,0.0012575093167169103,0.016499431287798745,0.9890178571428572,1.0
MNIST,3,pure_logits,greedy_5_baseline,5,4,0.0305227804929018,,,,0.0169262886047363,0.0,cnn_experiments_data/arrays/mnist_3_pure_logits_greedy_5_baseline_2025-11-30.npz,0.0,1.0,0.9999384806114111,0.9898523958340338,0.010147604165966162,0.005729232494320213,0.005729232494320213,0.014578540355805594,0.9909821428571428,1.0
MNIST,3,pure_logits,greedy_5_temp_pool_then_calibrate,5,4,0.0288090147078037,0.7959183673469388,,,0.0169262886047363,0.0263838768005371,cnn_experiments_data/arrays/mnist_3_pure_logits_greedy_5_temp_pool_then_calibrate_2025-11-30.npz,0.0,1.0,0.9999385600931122,0.9898515066592634,0.010148493340736642,0.0020138967846120856,0.0020138967846120856,0.014058408756725208,0.9909821428571428,1.0
MNIST,3,pure_logits,greedy_5_temp_calibrate_then_pool,5,4,0.0297685991972684,0.7680299875052061,1.0,1.0,0.0169262886047363,10.08353853225708,cnn_experiments_data/arrays/mnist_3_pure_logits_greedy_5_temp_calibrate_then_pool_2025-11-30.npz,0.0,1.0,0.9999358515730634,0.9898462335837095,0.01015376641629051,0.0026025164255074193,0.0026025164255074193,0.014430913689571676,0.9910714285714286,1.0
MNIST,3,pure_logits,greedy_5_post_calib,5,4,0.0276371054351329,0.9320116618075802,0.5947521865889213,1.0,0.0169262886047363,8.821837902069092,cnn_experiments_data/arrays/mnist_3_pure_logits_greedy_5_post_calib_2025-11-30.npz,0.0,1.0,0.9999433111303879,0.9898679353798204,0.01013206462017957,0.0012010692038706876,0.0012010692038706876,0.013715918225980193,0.9913392857142858,1.0
MNIST,4,pure_logits,greedy_5_baseline,5,4,0.0313353240489959,,,,0.0172648429870605,0.0,cnn_experiments_data/arrays/mnist_4_pure_logits_greedy_5_baseline_2025-11-30.npz,0.0,1.0,0.9999308530601783,0.98982435304983,0.010175646950170036,0.004681768076760376,0.004681768076760376,0.01513063507288281,0.990625,1.0
MNIST,4,pure_logits,greedy_5_temp_pool_then_calibrate,5,4,0.0303436256945133,0.7959183673469388,,,0.0172648429870605,0.0266115665435791,cnn_experiments_data/arrays/mnist_4_pure_logits_greedy_5_temp_pool_then_calibrate_2025-11-30.npz,0.0,1.0,0.9999309693343157,0.9898221691371175,0.010177830862882487,0.002704616518957244,0.002704616518957244,0.014678649861714166,0.990625,1.0
